epoch,train_total_loss,train_cls_loss,train_depth_loss,train_accuracy,test_total_loss,test_cls_loss,test_depth_loss,test_accuracy,test_precision,test_recall,test_f1,learning_rate,epoch_time
1,0.018276001368978976,0.009841349445807796,0.014047072594058164,0.9339879127920065,0.12298653499230766,0.09046815444384051,0.05412376038596516,0.7376341470829659,0.8976047071298429,0.7376341470829659,0.7737902092786285,0.0009046039886902864,274.41989254951477
2,0.0038876228479553113,0.001540032759616208,0.003904178464554448,0.9927442118205275,0.11313283997987895,0.08934412160176158,0.039515293554918375,0.8155078588149455,0.9110541090048426,0.8155078588149455,0.8383921960413848,0.0006548539886902864,233.93181777000427
3,0.002503588437916612,0.000643024571406257,0.003083834349408548,0.9970907579614525,0.06468987269096592,0.04757261401096815,0.028292809319009748,0.8803088803088803,0.9248570624144958,0.8803088803088803,0.8915725687943641,0.0003461460113097139,232.85032629966736
4,0.0019079926887329306,0.00023449596157970156,0.002752458493573492,0.9988917173186486,0.07858599444968997,0.06182686229358373,0.02740562772219217,0.8707627762745873,0.9238494960292573,0.8707627762745873,0.8838646368693377,9.639601130971382e-05,232.45916056632996
5,0.0017537056796553554,0.00012094039316484145,0.002645148052442489,0.9994285417424281,0.07730443752966724,0.06012296017919489,0.027572065080343457,0.881342534885842,0.9271997673264143,0.881342534885842,0.8926928443194815,0.001,232.40076541900635
6,0.0036794702685747165,0.00132494772020211,0.00373328177091476,0.9941295651722167,0.07084479048993218,0.052391053114232235,0.028948842994753247,0.867768218161919,0.9184111645188396,0.867768218161919,0.8808158209568963,0.0009755527298894294,232.69693112373352
7,0.0028906247230345563,0.0007455779178383886,0.0033304796366647412,0.996415398202504,0.11016516041986275,0.08077000990094346,0.04530271915535457,0.791323381874563,0.905056798792268,0.791323381874563,0.8183977651028687,0.0009046039886902864,232.60697650909424
8,0.002258193510969837,0.00037572721713589256,0.002883928238395684,0.9982163575597001,0.09066855840494298,0.06734834937662883,0.03559103679699087,0.8148542243030432,0.9106558656101336,0.8148542243030432,0.8378333408341976,0.0007940987335200904,232.39290237426758
9,0.0020763424412652324,0.0002531013812313881,0.002775087614442774,0.998805132734168,0.05318197725207775,0.03984276845606963,0.020270930865562316,0.9075487185723407,0.9352315656571231,0.9075487185723407,0.9146228078736457,0.0006548539886902864,232.47391295433044
10,0.0020534828657065973,0.00023842438569276643,0.002755006484221667,0.9988917173186486,0.05588131372853439,0.04075074190222537,0.022951358702023115,0.8926823336272155,0.9334519626961042,0.8926823336272155,0.9025218418051079,0.0005005000000000001,232.46249222755432
11,0.0018678244014798079,0.00011770580119638005,0.002653520174151435,0.9994804924931165,0.06670078621237144,0.05115703476705882,0.023561516966563622,0.8945976347551151,0.929734335911636,0.8945976347551151,0.9035584871192434,0.0003461460113097139,232.25045347213745
12,0.0018168766591368259,9.140111586181012e-05,0.0026150431766780507,0.999549760160701,0.07030085060447475,0.05485576374550026,0.023405603189141387,0.8838050649074272,0.925342832476508,0.8838050649074272,0.8944064718381405,0.00020690126647990973,232.3300859928131
13,0.0017661974841081825,5.549723565024782e-05,0.0025922293446142127,0.9997748800803505,0.06385758651456372,0.04764389399614935,0.02456778154312882,0.8923935183777704,0.9287485807791587,0.8923935183777704,0.901674194311165,9.639601130971382e-05,232.1668951511383
14,0.0017731079200192033,5.905930264076245e-05,0.0025971423444622484,0.9997748800803505,0.059502336115886394,0.046304545719567054,0.019997147909404777,0.9052837989845864,0.93424890273263,0.9052837989845864,0.9126805509527207,2.5447270110570814e-05,232.08676838874817
15,0.0017390651290976665,3.780649051565623e-05,0.0025777019149792768,0.9998268308310388,0.0583807189212428,0.04512229728361176,0.02008870632245236,0.9090383972273736,0.9357973081980456,0.9090383972273736,0.9158894513000518,0.001,232.23557353019714
16,0.0034475974974004075,0.0010701190455745491,0.003602260237444291,0.9951512632690875,0.058275661494443375,0.042640760493256935,0.02368932683074621,0.8892317514364758,0.9316084104971092,0.8892317514364758,0.8995335476074863,0.0009938503261272714,232.62912845611572
17,0.002202167539379304,0.0003492325756538188,0.0028074830291438353,0.9985973297314146,,,,0.891694281458061,0.9327857499365767,0.891694281458061,0.9016485087386354,0.0009755527298894294,232.11006331443787
18,0.002003957299037581,0.00019729444084048286,0.0027373700216721613,0.9990475695707136,0.04118590507746535,0.029673721866043157,0.017442710667442945,0.9192229349709665,0.9380161959820201,0.9192229349709665,0.9242995251796368,0.0009455577588320898,232.15284848213196
19,0.0021156426655660194,0.0002620260264357344,0.002808510753649608,0.9988570834848564,0.0454626801163521,0.032991470769126174,0.018895774421493653,0.9161675736478886,0.9412538531692388,0.9161675736478886,0.9223639299134746,0.0009046039886902864,231.9454529285431
20,0.001991781636359648,0.00020511758515616934,0.0027070668813426344,0.9992207387396748,,,,0.8726324749946798,0.9222609571202677,0.8726324749946798,0.8851550174541932,0.0008536998372026805,231.90432167053223
